Raag Name,URL,Time,Aaroh,Avroh,S,r,R,g,G,m,M,P,d,D,n,N,Source_File,Swar,Jati,Thaat,Vadi - Samvadi,Vishranti Sthan,Mukhya Ang
Kafi,https://tanarang.com/wordpress/raag-kafi/,2nd Prahar of the Night (9PM to 12AM),S R g m P D n S'; - S' n D P m g R S;,,True,False,True,True,False,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,Gandhar and Nishad Komal. Rest all Shuddha Swaras.,Sampurna - Sampurna,Kafi,Pancham - Shadj,S P - S' P R;,g R ; m P ; m P D P ; D n S' ; n D P;
Kalawati,https://tanarang.com/wordpress/raag-kalawati/,2nd Prahar of the Night (9PM to 12AM),"S G P D n S'; - S' n D P G P G S ; ,n ,D S ;",,True,False,False,False,True,False,False,True,False,True,True,False,tanarang_Raw_Data.csv,Rishabh and Madhyam Varjya. Nishad Komal. Rest all Shuddha Swar.,Audhav - Audhav,Khamaj,Pancham - Shadj,G D - D G;,S G P D ; P D n D ; D P ; G P D S n ; D n S ; n P ; D G ; P G S ; n D S ;
Kamod,https://tanarang.com/wordpress/raag-kamod/,1st Prahar of the Night (6PM to 9PM),S R P ; G m R S ; m R P ; D N S'; - S' N D P ; M P D P ; G m P ; G m R S;,,True,False,True,False,True,True,True,True,False,True,False,True,tanarang_Raw_Data.csv,Both Madhyams. Rest all Shuddha Swaras.,Sampurna - Sampurna Vakra,Kalyan,Pancham - Rishabh,S; R; P; - S'; P; R;,S (m)R R P ; G m P G m R S ; S' R' S' ; D D P ; m R P ; D M P ; G m R S;
Kaushik Dhwani (Bhinn Shadj),https://tanarang.com/wordpress/raag-kaushik-dhwani-raag-bhinn-shadj/,2nd Prahar of the Night (9PM to 12AM),S G m D N S'; - S' N D m G S;,,True,False,False,False,True,True,False,False,False,True,False,True,tanarang_Raw_Data.csv,Rishabh and Pancham Varjya. Rest all Shuddha Swaras.,Audhav - Audhav,Bilawal,Madhyam - Shadj,S; G; m; D; N;,G m D N D S' ; N S' D ; G m ; D m G S ;
Kausi Kanada,https://tanarang.com/wordpress/raag-kausi-kanada/,3rd Prahar of the Night (12AM to 3AM),",n S g m d n S'; - S' n d P m g R g m R S;",,True,False,True,True,False,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,"Gandhar, Dhaivat and Nishad Komal. Rishabh and Pancham Varjya in Aaroh. Rest all Shuddha Swaras.",Shadhav - Sampurna Vakra,Asawari,Madhyam - Shadj,S; m; - S'; m;,"g m d P ; m g R ; g m S ; g m P m g R ; g S ,d ,n R S;"
Kedar,https://tanarang.com/wordpress/raag-kedar/,1st Prahar of the Night (6PM to 9PM),S M P D N S'; - S' N D P ; M P D P ; m m R S;,,True,False,True,False,False,True,True,True,False,True,False,True,tanarang_Raw_Data.csv,Rishabh and Gandhar Varjya in Aaroh. Both Madhyams. Rest all Shuddha Swaras.,Audhav - Sampurna Vakra,Kalyan,Madhyam - Shadj,S; m; P; - S'; P; m;,S m ; m P; M P D P m ; S R S ; M P D P M ; P S'; S' R' S' S' D D P;
Khamaj,https://tanarang.com/wordpress/raag-khamaj/,2nd Prahar of the Night (9PM to 12AM),"S G m P D N S'; - S' n D P m G R G S ,N S G m P;",,True,False,True,False,True,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,"Rishabh Varjya in Aaroh, Both Nishads. Rest all Shuddha Swaras.",Shadhav - Sampurna,Khamaj,Gandhar - Nishad,S m P - S' P G;,G m P D; G m G; P S' N S'; n D p; m P m G; R S;
Khambavati,https://tanarang.com/wordpress/raag-khambavati/,2nd Prahar of the Night (9PM to 12AM),"S R m P D S'; - S' n D P D ; m P ; G m S ; R ,n ,D S;",,True,False,True,False,True,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,"Nishad Varjya in Aaroh, Nishad Komal in Avroh. Rest All Shuddha Swaras.",Shadhav - Sampurna Vakra,Khamaj,Gandhar - Dhaivat,S; P; - D; P; G; S;,"S R m G m S ; R m P D ; n n D P D P ; m P D S' ; P D S' R' G' S'; R' n D S' ; D m P ; G m S ; R ,n ,D S;"
Kirwani,https://tanarang.com/wordpress/raag-keervani/,2nd Prahar of the Night (9PM to 12AM),S R g m P d N S'; - S' N d P m g R S;,,True,False,True,True,False,True,False,True,True,False,False,True,tanarang_Raw_Data.csv,Gandhar and Dhaivat Komal. Rest all Shuddha Swaras.,Sampurna - Sampurna,Not Defined,Pancham - Shadj,S R P - S' P R;,"P d S' ; S' N S' R' g' R' S' N d P ; d P m P ; P m g R ; g m ; g R S ,N ,d ,N R S ;"
Komal Rishabh Asawari,https://tanarang.com/wordpress/raag-komal-rishabh-asawari/,2nd Prahar of the Day (9AM to 12PM),"S r m P d S'; - S' r' n d m P d m g r g r ,n ,d r S;",,True,True,False,True,False,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,"Gandhar, Nishad Varjya in Aaroh. Pancham Varjya in Avroh. Rishabh, Gandhar, Dhaivat, Nishad Komal. Rest all Shuddha Swaras.",Audhav - Shadhav Vakra,Bhairavi,Dhaivat - Rishabh,S; m; P; d; - d; m; r;,m P d S' ; r' n d m g r ; g r S;
Lalit,https://tanarang.com/wordpress/raag-lalit/,4th Prahar of the Night (3AM to 6AM),",N r G M d N S'; - S' N d; M d M m; G M G r S;",,True,True,False,False,True,True,True,False,True,False,False,True,tanarang_Raw_Data.csv,Pancham Varjya. Rishabh and Dhaivat Komal. Both Madhyam. Rest all Shuddha Swaras.,Shadhav - Shadhav Vakra,Poorvi,Shuddha Madhyam - Shadj,S; G; m; - S'; m; G;,",N r G m M m G r S ; G M d N d M m; r' N d M m; G m M m; G; M G r S;"
Lanka Dahan Sarang,https://tanarang.com/wordpress/raag-lanka-dahan-sarang/,2nd Prahar of the Day (9AM to 12PM),"S R m P N S'; - S' n D P ; m P D P ; g R g R S ,N S;",,True,False,True,True,False,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,Gandhar and Dhaivat Varjya in Aaroh. Gandhar Komal in Avroh. Both Nishads. Rest all Shuddha Swars.,Audhav - Sampurna Vakra,Kafi,Shadj - Madhyam,R; P; S' - S'; P; R;,"m P S' ; n P ; m P ; R g R S ; ,n ,P ,m ,P ,N S;"
Madhukauns,https://tanarang.com/wordpress/raag-madhukauns/,2nd Prahar of the Night (9PM to 12AM),S g M P n S' - S' n P M g S,,True,False,False,True,False,False,True,True,False,False,True,False,tanarang_Raw_Data.csv,Rishabh and Dhaivat Varjya. Gandhar and Nishad Komal. Madhyam Teevra.,Audhav - Audhav,Kafi,Pancham - Shadj,M P S' - P M S;,S g M ; P M g M P ; M P n S' ; S' n P M ; g M g S;
Madhumad Sarang,https://tanarang.com/wordpress/raag-madhumad-sarang/,3rd Prahar of the Day (12PM to 3PM),",n S; R m P n S'; - S' n P m R S ;",,True,False,True,False,False,True,False,True,False,False,True,False,tanarang_Raw_Data.csv,"Gandhar and Dhaivat Varjya, Nishad Komal. Rest all Shuddha Swaras.",Audhav - Audhav,Kafi,Rishabh - Pancham,S; P; - S'; P;,",n S R ; m R ; P m R ; n P m R ; P m R S ;"
Madhuvanti,https://tanarang.com/wordpress/raag-madhuvanti/,4th Prahar of the Day (3PM to 6PM),",N S g M P N S'; - S' N D P M g M g R S ,N S;",,True,False,True,True,False,False,True,True,False,True,False,True,tanarang_Raw_Data.csv,"Rishabh and Dhaivat Varjya in Aaroh. Gandhar Komal, Madhyam Teevra. Rest all Shuddha Swaras.",Audhav - Sampurna,Todi,Pancham - Shadj,S; g; P; N; - S'; N; P; R;,",N S M g M P; M g S R S;"
Malgunji,https://tanarang.com/wordpress/raag-malgunji/,3rd Prahar of the Night (12AM to 3AM),S R G m D n S'; - S' n D P m G R G m g R S ;,,True,False,True,True,True,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,"Pancham Varjya in Aaroh. Both Nishads, Both Gandhars. Rest all Shuddha Swaras.",Shadhav - Sampurna Vakra,Kafi,Madhyam - Shadj,S; m; - m; S;,"G m g R S ; ,n S ; ,D ,n S R G m ;"
Malhar,https://tanarang.com/wordpress/raag-malhar-raag-miya-malhar/,2nd Prahar of the Night (9PM to 12AM) or Anytime in Rainy Season.,",N S; m R P ; g m R S; m R P n D N S'; - S' n D n P; m P g g m R S;",,True,False,True,True,False,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,"Dhaivat Varjya in Avroh. Gandhar Komal, Both Nishads. Rest all Shuddha Swaras.",Sampurna - Shadhav Vakra,Kafi,Pancham - Shadj,S R P N - S' P R;,"S R; R P; g g m R S; ,n D ,N ,N S;"
Malkauns,https://tanarang.com/wordpress/raag-malkauns/,3rd Prahar of the Night (12AM to 3AM),S g m d n S'; - S' n d m g S;,,True,False,False,True,False,True,False,False,True,False,True,False,tanarang_Raw_Data.csv,"Rishabh and Pancham Varjya. Gandhar, Dhaivat and Nishad Komal. Rest all Shuddha Swaras.",Audhav - Audhav,Bhairavi,Madhyam - Shadj,S g m - m g S;,",d ,n S g m; g m n d m; d n S'; g’ S’ n d;"
Mand,https://tanarang.com/wordpress/raag-mand/,2nd Prahar of the Night (9PM to 12AM),S R G m P D N P D S'; - S' N D P m G R G S;,,True,False,True,False,True,True,False,True,False,True,False,True,tanarang_Raw_Data.csv,All Shuddha Swaras.,Sampurna - Sampurna Vakra,Bilawal,Shadj - Pancham,S m P - S' D m G;,G m P D S' N D; D P m; m P G R G S;
Maru Bihag,https://tanarang.com/wordpress/raag-maru-bihag/,2nd Prahar of the Night (9PM to 12AM),S G M P N S'; - S' N D P M G M G R S;,,True,False,True,False,True,False,True,True,False,True,False,True,tanarang_Raw_Data.csv,Rishabh and Dhaivat Varjya in Aaroh. Madhyam Teevra (with rare use of Madhyam Shuddha). Rest all Shuddha Swaras.,Audhav - Sampurna,Kalyan,Pancham - Shadj,G P N - S' D P G R;,"M G ; M G R S ; S ,N S ; m G P ; M G M G R S ;"
Marwa,https://tanarang.com/wordpress/raag-marwa/,4th Prahar of the Day (3PM to 6PM),"S ,D ,N r G M D N S'; - S' N D M G r S ; ,N ,D S ,N r S ;",,True,True,False,False,True,False,True,False,False,True,False,True,tanarang_Raw_Data.csv,"Pancham Varjya. Rishabh Komal, Madhyam Teevra. Rest all Shuddha Swaras.",Shadhav - Shadhav,Marwa,Rishabh - Dhaivat,r; D; - D; r;,"S ; ,N ,D S ,N r ; r G M D ; D M G r ; ,N ,D r S ;"
Megh Malhar,https://tanarang.com/wordpress/raag-megh-malhar-or-raag-megh/,Anytime in Rainy Season,"S (m)R m P ,n S'; - S' n P m R S; R ,n S;",,True,False,True,False,False,True,False,True,False,False,True,False,tanarang_Raw_Data.csv,Gandhar and Dhaivat Varjya. Nishad Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Kafi,Madhyam - Shadj,S; m; P; - P; m; R;,",n S R P m R ; m P m R ; m P ; P m n P m R ; R R P m R R S ,n S;"
Mohankauns,https://tanarang.com/wordpress/raag-mohankauns-different-flavour/,2nd Prahar of the Night (9PM to 12AM),S G m d n S' - S' n d m g S,,True,False,False,True,True,True,False,False,True,False,True,False,tanarang_Raw_Data.csv,Rishabh and Pancham Varjya. Both Gandhars. Dhaivat and Nishad Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Bhairavi,Madhyam - Shadj,S; G; m; d; n; - n; d; m; S;,"S G m g S ; ,n ,d ; ,n S ; S m G ; m d n d m G ; m G g S;"
Multani,https://tanarang.com/wordpress/raag-multani/,3rd Prahar of the Day (12PM to 3PM),",N S g M P N S'; - S' N d P M g r S;",,True,True,False,True,False,False,True,True,True,False,False,True,tanarang_Raw_Data.csv,"Rishabh and Dhaivat Varjya in Aaroh. Rishabh, Gandhar and Dhaivat Komal. Madhyam Teevra. Rest all Shuddha Swaras.",Audhav - Sampurna,Todi,Pancham - Shadj,S; g; P; N; - N; P; g; S;,",N S ; M g ; M g P ; M g M g r S ;"
Nand,https://tanarang.com/wordpress/raag-nand/,2nd Prahar of the Night (9PM to 12AM),S G m D P R S ; G m P N S'; - S D N P ; D M P G ; G m D P R S ;,,True,False,True,False,True,True,True,True,False,True,False,True,tanarang_Raw_Data.csv,"Rishabh Varjya in Aaroh, Both Madhyams. Rest all Shuddha Swaras.",Shadhav - Sampurna Vakra,Kalyan,Shadj - Pancham,S; G; m; P; - P; m; G; S;,S G m D P R S ; G m P D N ; (D)P ; P D (P) m m P ; G m D P R S ;
Narayani,https://tanarang.com/wordpress/raag-narayani/,2nd Prahar of the Night (9PM to 12AM),S R m P D S'; - S' n D P m R S;,,True,False,True,False,False,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,"Gandhar and Nishad Varjya in Aaroh, Gandhar Varjya in Avroh. Nishad Komal in Avroh. Rest all Shuddha Swaras.",Audhav - Shadhav,Khamaj,Shadj - Pancham,S; P; - P; S;,"S R ,n ,D ,P ; ,m ,P ,D S ; m R ; m R S ; S R P ; m P n D D P ; D P m R S ;"
Nayaki Kanada,https://tanarang.com/wordpress/raag-nayaki-kanada/,2nd Prahar of the Night (9PM to 12AM),S R (m)g m P n P S'; - S' n P n P m P (m)g g m R S;,,True,False,True,True,False,True,False,True,False,False,True,False,tanarang_Raw_Data.csv,"Dhaivat Varjya. Gandhar, Nishad Komal. Rest All Shuddha Swaras.",Shadhav - Shadhav Vakra,Kafi,Madhyam - Shadj,R; P; - P; m; R;,"R ,n S R P (m)g ; g m P m R S R S ; g m n P ; n m P (m)g m P m R S R R S; m P n P S'; P n P; g m R S;"
Nut Bhairav,https://tanarang.com/wordpress/raag-nut-bhairav/,1st Prahar of the Day (6AM to 9AM),S R G m P d N S'; - S' N d P m G R S;,,True,False,True,False,True,True,False,True,True,False,False,True,tanarang_Raw_Data.csv,Dhaivat Komal. Rest all Shuddha Swaras.,Sampurna - Sampurna,Bhairav,Madhyam - Shadj,R; m; d; - d; m; R;,"R G m d P ; m G R ; G m R S ,N ,d S ;"
Parameshwari,https://tanarang.com/wordpress/raag-parmeshwari/,2nd Prahar of the Day (9AM to 12PM),S r g m D n S'; - S' n D m g r S;,,True,True,False,True,False,True,False,False,False,True,True,False,tanarang_Raw_Data.csv,"Pancham Varjya. Rishabh, Gandhar and Nishad Komal. Rest all Shuddha Swaras.",Shadhav - Shadhav,Not Defined,Madhyam - Shadj,r; m; D; - D; m; r;,"S r g m D m ; g m D m g r ; g r ,n ,d ; ,d ,n r S ;"
Patdeep,https://tanarang.com/wordpress/raag-patdeep/,3rd Prahar of the Day (12PM to 3PM),",N S g m P N S'; - S' N D P m g R S ,N S;",,True,False,True,True,False,True,False,True,False,True,False,True,tanarang_Raw_Data.csv,Rishabh and Dhaivat Varjya in Aaroh. Gandhar Komal. Rest All Shuddha Swaras.,Audhav - Sampurna,Kafi,Pancham - Shadj,g; P; N; – D; P; R;,"g m P N S' D P ; mg mP N N N S' ; D P m g m P ; P g m ; g R S ,N ,N S;"
Pilu,https://tanarang.com/wordpress/raag-pilu/,3rd Prahar of the Day (12PM to 3PM),"S G m P N S'; - S' n D P m g R S ; ,N S g R S ;",,True,False,True,True,True,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,"Rishabh and Dhaivat Varjya in Aaroh. Both Gandhars, Both Dhaivats, Both Nishads. Rest all Shuddha Swaras.",Audhav - Sampurna,Kafi,Gandhar - Nishad,S; G; P; N; - n; P; g;,"G m P N S' ; n D P ; m P N d P ; m g R S ; P g R S ,N ; S g R S ;"
Puriya,https://tanarang.com/wordpress/raag-puriya/,2nd Prahar of the Night (9PM to 12AM),",N r G M D N S'; - S' N D M ; G M D ; G M G r S;",,True,True,False,False,True,False,True,False,False,True,False,True,tanarang_Raw_Data.csv,"Pancham Varjya. Rishabh Komal, Madhyam Teevra. Rest all Shuddha Swaras.",Shadhav - Shadhav,Marwa,Gandhar - Nishad,G; N; - N; G;,"N R G ; G M D G M G ; N M G ; G M G r S ; ,N ,M ,D S ; ,N r G r S ;"
Puriya Dhanashree,https://tanarang.com/wordpress/raag-puriya-dhanashree/,4th Prahar of the Day (3PM to 6PM),",N r S ; ,N r G M P ; M d N S' - S' N d P M G M r G r S",,True,True,False,False,True,False,True,True,True,False,False,True,tanarang_Raw_Data.csv,Rishabh and Dhaivat Komal. Madhyam Teevra. Rest all Shuddha Swaras.,Sampurna - Sampurna Vakra,Poorvi,Pancham - Shadj,S; G; P; N; - S'; P; G; r;,",N r G M P ; P M G M r G ; M d P ; M d N S'; N r' ; N d P ; P d P P M G M r G ; r S;"
Puriya Kalyan,https://tanarang.com/wordpress/raag-puriya-kalyan/,4th Prahar of the Day (3PM to 6PM),S r G M P D N S' - S' N D P M G r G r S,,True,True,False,False,True,False,True,True,False,True,False,True,tanarang_Raw_Data.csv,"Rishabh Komal, Madhyam Teevra. Rest all Shuddha Swaras.",Sampurna - Sampurna Vakra,Marwa,Shadj - Pancham,G; M; P; N; - S'; N; P; G; r;,",N r G M P M r G r S; M D P; M D N S';"
Poorvi,https://tanarang.com/wordpress/raag-poorvi/,4th Prahar of the Day (3PM to 6PM),S r G M P d N S' - S' N d P ; M G m G r S,,True,True,False,False,True,True,True,True,True,False,False,True,tanarang_Raw_Data.csv,Rishabh and Dhaivat Komal. Both Madhyams. Rest all Shuddha Swaras.,Sampurna - Sampurna Vakra,Poorvi,Gandhar - Nishad,S; G; P; N; - S'; P; G;,S r G ; M G m G ; M d P ; N d P ; G M P ; M G m G r S ;
Rageshree,https://tanarang.com/wordpress/raag-rageshree/,2nd Prahar of the Night (9PM to 12AM),S G m D n S' - S' n D m G m R S,,True,False,True,False,True,True,False,False,False,True,True,False,tanarang_Raw_Data.csv,Rishabh and Pancham Varjya in Aaroh. Pancham Varjya in Avroh. Nishad Komal. Rest all Shuddha Swaras.,Audhav - Shadhav,Khamaj,Gandhar - Nishad,G; m; D;,",n ,D ,n S ; G m R S ; G m D n D m ; G m R S;"
Ramdasi Malhar,https://tanarang.com/wordpress/raag-ramdasi-malhar/,Anytime in Rainy season.,",N S R G m ; P G m , R P ; m P D N S' - S' n D n P ; D P m G m ; P g g m R S",,True,False,True,True,True,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,"Both Gandhars, Both Nishads. Rest all Shuddha Swaras.",Sampurna - Sampurna Vakra,Kafi,Madhyam - Shadj,S; m; P;,S R G m ; m R P ; P G m ; P g g m R S ;
Ramkali,https://tanarang.com/wordpress/raag-ramkali/,1st Prahar of the Day (6AM to 9AM),S r G m P d N S' - S' N d P ; M P d n d P ; M P G m r S,,True,True,False,False,True,True,True,True,True,False,True,True,tanarang_Raw_Data.csv,"Rishabh and Dhaivat Komal. Both Madhyams, Both Nishads. Rest all Shuddha Swaras.",Sampurna - Sampurna Vakra,Bhairav,Pancham - Shadj,S; P; - S'; P; r;,M P d n d P ; M P G m r S ;
Saalag Varali,https://tanarang.com/wordpress/raag-saalag-varali/,2nd Prahar of the Day (9AM to 12PM),S r g P D n S' - S' n D P g r S,,True,True,False,True,False,False,False,True,False,True,True,False,tanarang_Raw_Data.csv,"Madhyam Varjya. Rishabh, Gandhar and Nishad Komal. Rest all Shuddha Swaras.",Shadhav - Shadhav,Todi,Pancham - Shadj,S; g; P;,g P D n D P ; D n D S' ; S' n D P ; D n D P ; r g r S ;
Sarang (Brindavani Sarang),https://tanarang.com/wordpress/raag-sarang-raag-brindavani-sarang/,2nd Prahar of the Day (9AM to 12PM) or Afternoon,"S R m P N S' - S' n P m R S ,N S",,True,False,True,False,False,True,False,True,False,False,True,True,tanarang_Raw_Data.csv,Gandhar and Dhaivat Varjya. Both Nishads. Rest all Shuddha Swaras.,Audhav - Audhav,Kafi,Rishabh - Pancham,S; R; P; N; - S'; P; R;,"R m ; P R ; m R ,N S ; m P n P m R ,N S ;"
Saraswati,https://tanarang.com/wordpress/raag-saraswati/,2nd Prahar of the Night (9PM to 12AM),"S R M P D S' - S' n D P M P M R S ,n ,D S",,True,False,True,False,False,False,True,True,False,True,True,False,tanarang_Raw_Data.csv,"Gandhar and Nishad Varjya in Aaroh. Gandhar Varjya in Avroh. Madhyam Teevra, Nishad Komal. Rest all Shuddha Swaras.",Audhav - Shadhav,Kalyan,Pancham - Rishabh,R; P; S'; - D; P; R;,R M P D n D ; P M D P ; M R M P ; D S' n D;
Saraswati Kedar,https://tanarang.com/wordpress/raag-saraswati-kedar/,2nd Prahar of the Night (9PM to 12AM),S R M P D S' - S' n D P ; M P D P ; M m R S,,True,False,True,False,False,True,True,True,False,True,True,False,tanarang_Raw_Data.csv,"Gandhar and Dhaivat Varjya in Aaroh. Both Madhyams, both Nishads.  Rest all Shuddha Swaras.",Audhav - Shadhav Vakra,Kalyan,Madhyam - Shadj,S M P D - S' P m R;,"R M P D P ; M P m R S ; M P D n D P D S'; S' n D P M m R ; S ,n ,D S;"
Shahana Kanada,https://tanarang.com/wordpress/raag-shahana-kanada/,3rd Prahar of the Night (12AM to 3AM),",n S ; R g m P ; m g m ; D n P ; m P D n S' - S' D n P ; m P g m R S",,True,False,True,True,False,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,Gandhar and Nishad Komal. Rest all Shuddha Swaras.,Sampurna - Sampurna Vakra,Kafi,Pancham - Shadj,S; P; D; - S'; D; P; R;,P m g m D ; D n P ; S' D n P ; D m P g m R S;
Shankara,https://tanarang.com/wordpress/raag-shankara/,2nd Prahar of the Night (9PM to 12AM),S G P N D S' - S' N P G ; P D P G ; P RG RS,,True,False,True,False,True,False,False,True,False,True,False,True,tanarang_Raw_Data.csv,Rishabh and Madhyam Varjya in Aaroh.  Madhyam Varjya in Avroh. All Shuddha Swaras.,Audhav - Shadhav Vakra,Bilawal,Gandhar - Nishad,S; G; P; N; - N; P; G; S;,G P N D S' N ; D P G P ; RG RS ;
Shivranjani,https://tanarang.com/wordpress/raag-shivranjani/,2nd Prahar of the Night (9PM to 12AM) or Midnight,"S R g P D S' - S' D P g R S; R ,D S",,True,False,True,True,False,False,False,True,False,True,False,False,tanarang_Raw_Data.csv,Madhyam and Nishad Varjya. Gandhar Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Kafi,Pancham - Shadj,P; S'; - S'; P;,R g P ; D P g R ; g S R D S ;
Shobhawari,https://tanarang.com/wordpress/raag-shobhawari/,2nd Prahar of the Day (9AM to 12PM),"S R m P d S' - S' d P m R S ; ,d S",,True,False,True,False,False,True,False,True,True,False,False,False,tanarang_Raw_Data.csv,Gandhar and Nishad Varjya. Dhaivat Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Asawari,Dhaivat - Rishabh,S; m; P; - S'; P; m;,R m P ; d P m R m ; P d P m R S ;
Shree,https://tanarang.com/wordpress/raag-shree/,4th Prahar of the Day (3PM to 6PM),S r M P N S' - S' r' N d P M P d M G r S,,True,True,False,False,True,False,True,True,True,False,False,True,tanarang_Raw_Data.csv,"Gandhar, Dhaivat Varjya in Aaroh. Rishabh, Dhaivat Komal, Madhyam Teevra. Rest all Shuddha Swaras.",Audhav - Sampurna Vakra,Poorvi,Rishabh - Pancham,S; r; P; - P; r; S;,"S ,N r ; r r P ; M Pd M G r G r S ; M P N S' r' ; r' N d P ; M d M G r ; G r S ;"
Shuddha Kalyan,https://tanarang.com/wordpress/raag-shuddha-kalyan-2/,1st Prahar of the Night (6PM to 9PM),S R G P D S' - S' N D P M G R S ; G R G P R S,,True,False,True,False,True,False,True,True,False,True,False,True,tanarang_Raw_Data.csv,Madhyam and Nishad Varjya in Aaroh. Madhyam Teevra in Avroh. Rest all Shuddha Swaras.,Audhav - Sampurna Vakra,Kalyan,Gandhar - Dhaivat,S; G; P; - P; G; S;,"G R G ; R S ; ,N ,D ,P ; G R S ; G R G ; P R S ;"
Shuddha Sarang,https://tanarang.com/wordpress/raag-shuddha-sarang/,2nd Prahar of the Day (9AM to 12PM),",N S R M P N S' - S' N D P M P M m R S ,N S",,True,False,True,False,False,True,True,True,False,True,False,True,tanarang_Raw_Data.csv,Gandhar Varjya. Both Madhyams. Rest all Shuddha Swaras.,Shadhav - Shadhav,Kalyan,Rishabh - Pancham,",N; R; P; N; - S'; N; P; R;",",N S R M M P ; M P M m R ; R ,N ,N S ; ,N ,D S ,N R S ;"
Shyam Kalyan,https://tanarang.com/wordpress/raag-shyam-kalyan/,1st Prahar of the Night (6PM to 9PM),",N S R M P N S'; - S' N D P M P D P G m P G m R S ,N S;",,True,False,True,False,True,True,True,True,False,True,False,True,tanarang_Raw_Data.csv,Dhaivat Varjya in Aaroh. Both Madhyams. Rest all Shuddha Swaras.,Shadhav - Sampurna Vakra,Kalyan,Pancham - Shadj,S; R; P; N; - S'; N; P; R;,"S R ,N S (m)R ; R M M P ; P G m R ; M P ; G m P ; G m R ; ,N S R S;"
Sindhura,https://tanarang.com/wordpress/raag-sindhura/,4th Prahar of the Day (3PM to 6PM),S R m P D S'; - S' n D P m g R m g R S;,,True,False,True,True,False,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,Gandhar and Nishad Varjya in Aaroh. Gandhar and Nishad Komal in Avroh. Rest all Shuddha Swaras.,Audhav - Sampurna,Kafi,Shadj - Pancham,S; P; D; - S'; D; P; g;,R m P D ; n D P S' ; R' g' R' S' ; n D P m g R ; m g R S;
Sohani,https://tanarang.com/wordpress/raag-sohani/,4th Prahar of the Night (3AM to 6AM),S G M D N S'; - S' N D N D M G r S ;,,True,True,False,False,True,False,True,False,False,True,False,True,tanarang_Raw_Data.csv,"Rishabh and Pancham Varjya in Aaroh. Pancham Varjya in Avroh. Rishabh Komal, Madhyam Teevra. Rest all Shuddha Swaras.",Audhav - Shadhav Vakra,Marwa,Dhaivat - Gandhar,G; D; - D; G;,M D N S' r' S' ; N D N D ; S' r' S' r' N S' N D G M G ;
Suha Sughrai,https://tanarang.com/wordpress/raag-suha-sughrai/,2nd Prahar of the Day (9AM to 12PM),",n S ; (m)g (m)g m ; P n P ; P n m P S'; (Suha) or ,n S R m P ; P n P n S' ; (Sughrai) - S' P n P m P (m)g m R S ; (Suha) or S' n P m R S R (m)g m R S ; (Sughrai)",,True,True,True,True,False,True,False,True,False,False,True,False,tanarang_Raw_Data.csv,"Dhaivat Varjya. Gandhar, Nishad Komal. Rest all Shuddha Swaras.",Shadhav - Shadhav,Kafi,Pancham - Shadj,S; g ; m ; P ;,P n m P S' ; n n P m R S R (m)g ; g m R S ;
Sundarkali,https://tanarang.com/wordpress/raag-sundarkali/,2nd Prahar of the Day (9AM to 12PM),S r G P n S'; - S' n P G ; P G r S ;,,True,True,False,False,True,False,False,True,False,False,True,False,tanarang_Raw_Data.csv,Madhyam and Dhaivat Varjya. Rishabh and Nishad Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Not Defined,-,S; G; n; - n; P; G ;,"S r G P n P ; G P n ; P G r S ; r S ,n S r S;"
Sundarkauns,https://tanarang.com/wordpress/raag-sundarkauns/,2nd Prahar of the Night (9PM to 12AM),"S g m D n S'; - S' n D m g m g S ,n S;",,True,False,False,True,False,True,False,False,False,True,True,False,tanarang_Raw_Data.csv,Rishabh and Pancham Varjya. Gandhar and Nishad Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Kafi,Madhyam - Shadj,S; m; D; - S'; D; m;,",n ,n ,D ; ,D ,n S ; g m g S ; g m D ; n D ; m D n S'; S' D n D m g S;"
Surdasi Malhar,https://tanarang.com/wordpress/raag-surdasi-malhar/,Anytime in Rainy Season,"S R m P N S'; - S' n D P ; m D P ; n D P m R ; ,N S;",,True,False,True,False,False,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,Gandhar and Dhaivat Varjya in Aaroh. Gandhar Varjya in Avroh. Both Nishads. Rest all Shuddha Swaras.,Audhav - Shadhav Vakra,Kafi,Madhyam - Shadj,S; R; m; P; - S'; P; m; R;,"m R ,N S ; S' ; n D m P n D P ; m R P m D P ; m R ,N S ;"
